,stock,date,score,positive_score,negative_score,activity,avg_7_days,avg_14_days,avg_30_days
0,AJG,2022-04-13,8,18,-19,4,14,12,11
1,AJG,2022-04-14,1,20,-19,2,13,11,11
2,AJG,2022-04-15,3,20,-19,7,11,10,10
3,AJG,2022-04-16,15,15,0,1,12,11,11
4,AJG,2022-04-17,7,20,-18,3,12,11,11
5,AJG,2022-04-18,2,20,-19,9,10,10,10
6,AJG,2022-04-19,5,19,-20,13,9,10,10
7,AJG,2022-04-20,12,20,-20,8,8,11,10
0,AIZ,2022-04-13,10,20,-20,4,5,0,4
1,AIZ,2022-04-14,-4,20,-20,5,5,1,4
2,AIZ,2022-04-15,11,20,0,7,5,2,4
3,AIZ,2022-04-16,8,20,-19,8,6,3,4
4,AIZ,2022-04-17,20,20,0,2,7,5,4
5,AIZ,2022-04-18,6,20,-20,14,8,6,4
6,AIZ,2022-04-19,-2,20,-20,8,8,5,5
7,AIZ,2022-04-20,12,20,-20,12,8,6,5
0,T,2022-04-13,-8,46,-49,738,-20,-12,-9
1,T,2022-04-14,-10,55,-60,3466,-21,-13,-8
2,T,2022-04-15,20,56,-44,2351,-9,-11,-9
3,T,2022-04-16,16,45,-44,1025,-8,-10,-8
4,T,2022-04-17,6,48,-47,1105,-7,-9,-7
5,T,2022-04-18,-17,51,-58,1719,-8,-12,-7
6,T,2022-04-19,-5,42,-47,1218,-4,-11,-6
7,T,2022-04-20,70,77,-46,10620,4,-6,-5
0,ATO,2022-04-13,-20,0,-20,2,4,10,18
1,ATO,2022-04-14,-8,16,-19,5,4,8,18
2,ATO,2022-04-15,-34,0,-35,58,-1,5,16
3,ATO,2022-04-16,20,20,0,2,1,5,16
4,ATO,2022-04-17,-20,0,-20,2,-3,3,15
5,ATO,2022-04-18,26,30,-19,33,-2,3,15
6,ATO,2022-04-19,10,20,-19,4,-3,2,16
7,ATO,2022-04-20,15,20,-20,8,-1,3,15
0,ADSK,2022-04-13,6,33,-26,260,7,7,7
1,ADSK,2022-04-14,10,33,-25,165,6,6,7
2,ADSK,2022-04-15,7,31,-21,230,7,7,8
3,ADSK,2022-04-16,25,34,-19,95,11,7,8
4,ADSK,2022-04-17,8,23,-19,67,10,7,8
5,ADSK,2022-04-18,8,34,-24,257,9,7,8
6,ADSK,2022-04-19,10,37,-27,275,9,7,9
7,ADSK,2022-04-20,8,35,-27,253,9,9,9
0,ADP,2022-04-13,5,19,-16,15,-1,4,6
1,ADP,2022-04-14,1,15,-20,9,-2,4,6
2,ADP,2022-04-15,4,20,-20,9,-1,3,6
3,ADP,2022-04-16,14,20,-7,5,-1,4,6
4,ADP,2022-04-17,-19,0,-19,2,-4,0,5
5,ADP,2022-04-18,12,18,-20,14,-2,1,5
6,ADP,2022-04-19,5,19,-19,15,1,1,5
7,ADP,2022-04-20,9,20,-19,9,1,1,5
0,AZO,2022-04-13,5,30,-13,121,4,4,3
1,AZO,2022-04-14,-2,26,-29,218,3,4,3
2,AZO,2022-04-15,5,30,-25,81,5,3,3
3,AZO,2022-04-16,9,29,-23,63,6,3,4
4,AZO,2022-04-17,-7,23,-29,63,5,4,3
5,AZO,2022-04-18,-2,28,-29,100,2,3,3
6,AZO,2022-04-19,6,26,-27,88,3,4,3
7,AZO,2022-04-20,6,31,-27,99,3,3,3
0,AVB,2022-04-13,2,12,-19,3,4,8,9
1,AVB,2022-04-14,20,20,0,2,6,8,9
2,AVB,2022-04-15,13,20,0,3,7,8,10
3,AVB,2022-04-16,20,20,0,1,8,10,10
4,AVB,2022-04-17,20,20,0,1,11,10,11
5,AVB,2022-04-18,-3,20,-19,15,10,10,10
6,AVB,2022-04-19,7,20,-16,6,9,9,11
7,AVB,2022-04-20,18,21,-19,12,11,8,11
0,AVY,2022-04-13,-16,20,-24,22,3,6,6
1,AVY,2022-04-14,9,20,-20,11,3,6,6
2,AVY,2022-04-15,0,0,0,4,3,5,6
3,AVY,2022-04-17,-20,0,-20,1,1,2,5
4,AVY,2022-04-18,7,20,-16,11,1,2,5
5,AVY,2022-04-19,6,18,-20,9,2,2,5
6,AVY,2022-04-20,-10,18,-20,11,-2,1,5
0,BKR,2022-04-13,30,42,-27,157,9,12,4
1,BKR,2022-04-14,8,35,-28,136,9,12,4
2,BKR,2022-04-15,17,23,-19,28,10,13,5
3,BKR,2022-04-16,11,19,-20,10,10,13,5
4,BKR,2022-04-17,-5,21,-31,218,10,13,5
5,BKR,2022-04-18,-2,28,-30,74,10,13,5
6,BKR,2022-04-19,14,35,-19,164,10,12,6
7,BKR,2022-04-20,-15,45,-51,814,6,7,6
0,BLL,2022-04-13,9,21,-20,17,11,10,7
1,BLL,2022-04-14,4,17,-19,10,12,10,7
2,BLL,2022-04-15,13,17,0,8,12,11,7
3,BLL,2022-04-16,-20,0,-20,1,9,10,6
4,BLL,2022-04-17,8,20,0,5,8,9,6
5,BLL,2022-04-18,-18,19,-30,49,5,7,5
6,BLL,2022-04-19,12,24,-20,32,4,7,5
7,BLL,2022-04-20,6,20,-20,22,2,7,5
0,BAC,2022-04-13,-13,47,-54,1269,-13,-8,2
1,BAC,2022-04-14,1,43,-40,621,-12,-6,2
2,BAC,2022-04-15,-14,40,-50,1652,-17,-8,2
3,BAC,2022-04-16,-52,37,-62,1641,-18,-12,0
4,BAC,2022-04-17,4,51,-50,2038,-11,-11,0
5,BAC,2022-04-18,7,54,-51,6214,-8,-10,0
6,BAC,2022-04-19,28,60,-45,2324,-5,-8,0
7,BAC,2022-04-20,18,54,-45,1227,-9,-8,1
0,BAX,2022-04-13,3,19,-20,16,14,19,15
1,BAX,2022-04-14,0,20,-20,18,11,17,15
2,BAX,2022-04-15,4,9,-20,6,10,17,14
3,BAX,2022-04-16,25,26,0,23,11,18,15
4,BAX,2022-04-17,1,20,-19,19,8,15,14
5,BAX,2022-04-18,15,20,0,9,9,16,14
6,BAX,2022-04-19,13,23,0,35,9,14,15
7,BAX,2022-04-20,47,47,-20,263,14,15,16
0,BDX,2022-04-13,1,20,-15,8,1,3,5
1,BDX,2022-04-14,3,20,-20,16,2,3,5
2,BDX,2022-04-15,2,19,-13,9,2,3,5
3,BDX,2022-04-16,16,20,-20,12,3,3,5
4,BDX,2022-04-17,10,20,-20,4,4,3,5
5,BDX,2022-04-18,-7,20,-20,31,3,3,4
6,BDX,2022-04-19,-5,20,-20,14,2,3,4
7,BDX,2022-04-20,10,20,0,8,2,3,4
0,BBY,2022-04-13,13,53,-33,2357,20,17,12
1,BBY,2022-04-14,17,47,-34,1075,20,17,13
2,BBY,2022-04-15,15,54,-35,3329,21,18,13
3,BBY,2022-04-16,8,48,-42,1253,18,18,13
4,BBY,2022-04-17,24,54,-35,1606,18,18,13
5,BBY,2022-04-18,-1,45,-53,2600,17,17,13
6,BBY,2022-04-19,29,61,-42,2830,18,18,14
7,BBY,2022-04-20,18,62,-46,3811,19,18,14
0,BIO,2022-04-13,5,20,-20,8,2,5,5
1,BIO,2022-04-14,4,20,-20,9,3,5,5
2,BIO,2022-04-15,0,20,-20,5,4,4,5
3,BIO,2022-04-16,-13,6,-20,4,0,2,4
4,BIO,2022-04-17,-20,0,-20,2,-4,0,3
5,BIO,2022-04-18,-2,20,-20,9,-2,0,3
6,BIO,2022-04-19,4,20,-19,5,-3,0,2
7,BIO,2022-04-20,12,20,0,5,-2,0,2
0,BIIB,2022-04-13,2,26,-26,56,-3,-2,0
1,BIIB,2022-04-14,6,27,-22,60,-3,-1,0
2,BIIB,2022-04-15,-12,14,-25,39,-4,-2,-1
3,BIIB,2022-04-16,0,20,-20,14,0,-2,-1
4,BIIB,2022-04-17,0,20,-19,76,1,-4,-2
5,BIIB,2022-04-18,16,40,-31,190,4,-2,-2
6,BIIB,2022-04-19,-6,26,-30,95,3,-2,-2
7,BIIB,2022-04-20,12,27,-18,59,1,-1,-2
0,BLK,2022-04-13,33,73,-52,15327,-10,-15,-15
1,BLK,2022-04-14,-88,56,-95,61930,-20,-23,-19
2,BLK,2022-04-15,-20,60,-89,144699,-17,-20,-18
3,BLK,2022-04-16,-26,50,-65,5070,-18,-20,-18
4,BLK,2022-04-17,-38,53,-65,3451,-19,-19,-19
5,BLK,2022-04-18,-25,49,-59,2140,-23,-18,-21
6,BLK,2022-04-19,-25,48,-59,2174,-23,-20,-22
7,BLK,2022-04-20,-25,38,-54,1409,-23,-21,-23
0,BK,2022-04-13,-4,20,-20,10,0,-1,-1
1,BK,2022-04-14,0,21,-21,84,-3,-1,-1
2,BK,2022-04-15,-1,21,-30,923,-3,-1,-1
3,BK,2022-04-16,8,21,-20,46,-1,1,-1
4,BK,2022-04-17,1,16,-18,712,0,0,-1
5,BK,2022-04-18,-10,29,-39,293,-1,0,-2
6,BK,2022-04-19,-4,19,-22,33,-2,0,-1
7,BK,2022-04-20,-5,17,-22,49,-2,-1,-1
0,BA,2022-04-13,-15,53,-58,2083,-16,-9,-13
1,BA,2022-04-14,14,60,-50,3913,-11,-10,-12
2,BA,2022-04-15,15,52,-44,2552,-10,-8,-12
3,BA,2022-04-16,7,46,-35,1148,-2,-9,-12
4,BA,2022-04-17,-4,44,-47,1739,-3,-7,-12
5,BA,2022-04-18,29,60,-44,2280,0,-4,-11
6,BA,2022-04-19,2,48,-48,1501,0,-4,-12
7,BA,2022-04-20,-8,52,-54,2105,-3,-6,-10
0,BKNG,2022-04-13,16,23,-20,23,6,8,10
1,BKNG,2022-04-14,6,20,-20,10,6,7,10
2,BKNG,2022-04-15,-2,20,-20,13,6,6,10
3,BKNG,2022-04-16,-1,20,-15,6,5,6,9
4,BKNG,2022-04-17,7,18,-19,7,6,5,9
5,BKNG,2022-04-18,2,22,-20,38,4,5,8
6,BKNG,2022-04-19,6,25,-21,35,5,5,8
7,BKNG,2022-04-20,21,32,-16,59,7,6,8
0,BWA,2022-04-13,6,20,-19,15,5,7,8
1,BWA,2022-04-14,26,29,-20,32,8,8,8
2,BWA,2022-04-15,18,20,0,10,9,8,9
3,BWA,2022-04-16,20,20,0,7,10,9,9
4,BWA,2022-04-17,-4,19,-21,37,8,8,9
5,BWA,2022-04-18,13,19,-20,10,13,9,9
6,BWA,2022-04-19,18,20,0,10,14,8,9
7,BWA,2022-04-20,10,20,-15,13,13,9,9
0,BXP,2022-04-13,9,19,-20,11,0,3,4
1,BXP,2022-04-14,8,20,0,5,0,2,4
2,BXP,2022-04-15,3,20,-20,6,0,1,4
3,BXP,2022-04-17,-20,0,-20,1,-1,1,3
4,BXP,2022-04-18,-4,20,-16,3,-2,-1,3
5,BXP,2022-04-19,7,20,-19,3,2,0,2
6,BXP,2022-04-20,12,20,-19,5,2,0,3
0,BSX,2022-04-13,20,29,-19,73,12,9,8
1,BSX,2022-04-14,23,36,-19,136,13,9,9
2,BSX,2022-04-15,13,19,-20,13,12,10,9
3,BSX,2022-04-16,6,20,-20,11,11,10,9
4,BSX,2022-04-17,-6,18,-20,16,10,9,8
5,BSX,2022-04-18,15,21,-20,18,10,9,8
6,BSX,2022-04-19,24,33,-20,63,13,12,9
7,BSX,2022-04-20,30,39,-19,126,16,13,9
0,BMY,2022-04-13,24,35,-19,83,20,20,17
1,BMY,2022-04-14,-6,30,-34,132,17,18,16
2,BMY,2022-04-15,1,21,-21,34,16,17,16
3,BMY,2022-04-16,21,30,-19,46,15,18,16
4,BMY,2022-04-17,16,21,-20,15,14,17,16
5,BMY,2022-04-18,-15,30,-39,180,12,15,15
6,BMY,2022-04-19,6,24,-19,46,10,15,15
7,BMY,2022-04-20,23,34,-19,82,10,14,16
0,AVGO,2022-04-13,22,36,-19,113,12,9,16
1,AVGO,2022-04-14,13,33,-24,116,13,9,16
2,AVGO,2022-04-15,6,19,-20,41,12,10,17
3,AVGO,2022-04-16,4,18,-20,22,12,9,16
4,AVGO,2022-04-17,6,20,-20,27,12,9,15
5,AVGO,2022-04-18,15,36,-26,137,14,10,14
6,AVGO,2022-04-19,12,35,-24,172,12,10,14
7,AVGO,2022-04-20,19,40,-25,249,12,11,14
0,CHRW,2022-04-13,-11,19,-21,15,-2,-1,4
1,CHRW,2022-04-14,-13,20,-19,6,-4,-1,3
2,CHRW,2022-04-15,7,20,-20,3,-3,-2,2
3,CHRW,2022-04-16,0,20,-19,3,-4,-1,2
4,CHRW,2022-04-17,20,20,0,1,-3,0,3
5,CHRW,2022-04-18,20,20,0,1,1,2,3
6,CHRW,2022-04-20,-5,20,-19,4,1,1,3
0,CDNS,2022-04-13,2,20,-18,14,10,10,9
1,CDNS,2022-04-14,-3,20,-20,12,8,9,8
2,CDNS,2022-04-15,-10,0,-20,2,6,7,8
3,CDNS,2022-04-16,10,20,0,4,6,8,8
4,CDNS,2022-04-17,-3,20,-20,18,4,6,8
5,CDNS,2022-04-18,10,20,-19,15,3,6,7
6,CDNS,2022-04-19,18,21,-20,12,6,7,8
7,CDNS,2022-04-20,2,20,-19,14,5,7,7
0,CZR,2022-04-13,25,43,-18,277,12,11,11
1,CZR,2022-04-14,13,34,-18,186,10,12,11
2,CZR,2022-04-15,23,30,-19,48,14,13,11
3,CZR,2022-04-16,3,20,-20,14,14,12,11
4,CZR,2022-04-17,2,25,-23,56,12,11,11
5,CZR,2022-04-18,6,30,-24,100,13,11,10
6,CZR,2022-04-19,15,31,-19,70,12,11,11
7,CZR,2022-04-20,9,24,-16,48,10,11,10
0,CPB,2022-04-13,-3,20,-20,13,-2,1,2
1,CPB,2022-04-14,13,20,-1,6,1,1,2
2,CPB,2022-04-15,0,2,0,7,2,1,2
3,CPB,2022-04-16,9,20,-20,15,3,2,2
4,CPB,2022-04-17,0,20,-20,2,5,1,2
5,CPB,2022-04-18,3,20,-19,19,5,1,2
6,CPB,2022-04-19,-10,19,-20,18,3,1,2
7,CPB,2022-04-20,9,18,-20,6,2,0,2
0,COF,2022-04-13,38,43,-15,168,6,5,7
1,COF,2022-04-14,10,18,-19,9,8,6,7
2,COF,2022-04-15,2,20,-19,9,8,6,7
3,COF,2022-04-16,0,0,0,2,7,6,6
4,COF,2022-04-17,20,20,0,2,9,6,6
5,COF,2022-04-18,17,31,-19,55,10,8,7
6,COF,2022-04-19,13,19,-19,17,12,9,6
7,COF,2022-04-20,7,20,-19,23,13,8,6
0,CAH,2022-04-13,2,18,-16,14,10,7,7
1,CAH,2022-04-14,12,20,-20,13,12,7,7
2,CAH,2022-04-15,18,29,-20,43,13,8,7
3,CAH,2022-04-16,-9,20,-20,9,9,8,7
4,CAH,2022-04-17,-3,20,-20,7,5,7,7
5,CAH,2022-04-18,0,19,-20,15,5,7,7
6,CAH,2022-04-19,-18,14,-25,26,2,6,6
7,CAH,2022-04-20,9,25,-20,33,2,6,5
0,KMX,2022-04-13,3,40,-39,315,0,-4,1
1,KMX,2022-04-14,-13,20,-30,84,-1,-5,0
2,KMX,2022-04-15,-7,18,-26,57,-2,-4,-1
3,KMX,2022-04-16,8,27,-21,62,-1,-3,-1
4,KMX,2022-04-17,9,20,-19,20,-1,-1,-1
5,KMX,2022-04-18,1,20,-24,93,-3,-1,-2
6,KMX,2022-04-19,-15,25,-29,156,-5,-1,-3
7,KMX,2022-04-20,21,39,-27,137,-4,0,-2
0,CCL,2022-04-13,17,43,-27,500,15,12,11
1,CCL,2022-04-14,7,36,-30,252,13,12,11
2,CCL,2022-04-15,-4,25,-29,82,12,13,11
3,CCL,2022-04-16,-46,27,-53,581,4,9,9
4,CCL,2022-04-17,-8,27,-36,225,3,7,9
5,CCL,2022-04-18,17,39,-30,371,3,8,9
6,CCL,2022-04-19,19,46,-32,600,4,9,9
7,CCL,2022-04-20,7,36,-32,180,2,8,9
0,CAT,2022-04-13,14,37,-18,235,25,25,22
1,CAT,2022-04-14,27,49,-35,648,24,26,22
2,CAT,2022-04-15,23,35,-19,89,24,25,22
3,CAT,2022-04-16,21,31,-16,57,22,26,21
4,CAT,2022-04-17,11,38,-28,225,17,25,21
5,CAT,2022-04-18,18,45,-35,320,17,24,20
6,CAT,2022-04-19,22,40,-17,202,17,24,21
7,CAT,2022-04-20,-10,40,-43,297,15,21,20
0,CBRE,2022-04-13,18,32,-12,78,9,7,9
1,CBRE,2022-04-14,12,36,-17,238,10,8,9
2,CBRE,2022-04-15,10,19,0,29,12,8,9
3,CBRE,2022-04-16,4,26,-19,203,11,7,9
4,CBRE,2022-04-17,10,11,0,9,11,8,8
5,CBRE,2022-04-18,6,21,-19,43,10,8,8
6,CBRE,2022-04-19,7,20,-20,31,10,9,8
7,CBRE,2022-04-20,12,26,-18,56,10,9,9
0,CE,2022-04-13,7,20,0,14,3,4,4
1,CE,2022-04-14,20,20,0,3,6,3,4
2,CE,2022-04-15,10,20,-19,6,7,4,4
3,CE,2022-04-16,0,20,-19,2,8,5,4
4,CE,2022-04-17,-5,20,-20,4,5,3,4
5,CE,2022-04-18,8,20,-19,5,5,4,4
6,CE,2022-04-19,4,20,-19,10,5,4,4
7,CE,2022-04-20,1,20,-17,9,6,4,4
0,CNC,2022-04-13,-1,19,-19,26,-3,-4,4
1,CNC,2022-04-14,10,20,-20,20,-3,-3,4
2,CNC,2022-04-15,-10,20,-26,45,-5,-4,3
3,CNC,2022-04-16,-5,20,-20,8,-4,-3,2
4,CNC,2022-04-17,-9,19,-26,37,-3,-3,1
5,CNC,2022-04-18,7,20,-20,22,-3,-2,1
6,CNC,2022-04-19,-2,16,-19,29,-3,-2,0
7,CNC,2022-04-20,5,22,-19,47,-2,-2,1
0,CNP,2022-04-13,-23,20,-32,54,-2,1,0
1,CNP,2022-04-14,-16,19,-29,43,-3,-2,-1
2,CNP,2022-04-15,-32,20,-36,74,-8,-3,-1
3,CNP,2022-04-16,2,19,-20,13,-8,-3,-1
4,CNP,2022-04-17,12,20,-19,5,-8,-2,-1
5,CNP,2022-04-18,-4,20,-19,11,-8,-3,-2
6,CNP,2022-04-19,-3,28,-30,72,-7,-3,-2
7,CNP,2022-04-20,5,24,-20,39,-6,-3,-2
0,CDAY,2022-04-13,-2,20,-18,10,-8,0,3
1,CDAY,2022-04-14,-19,0,-19,1,-9,-2,3
2,CDAY,2022-04-15,-20,0,-20,1,-11,-5,2
3,CDAY,2022-04-16,0,20,-20,5,-10,-5,1
4,CDAY,2022-04-17,-20,0,-20,1,-12,-8,0
5,CDAY,2022-04-18,-6,20,-19,6,-10,-8,-1
6,CDAY,2022-04-19,0,20,-20,8,-9,-8,-1
7,CDAY,2022-04-20,9,20,-19,13,-7,-8,-1
0,CERN,2022-04-13,8,25,-20,39,4,7,6
1,CERN,2022-04-14,1,20,-19,31,4,6,6
2,CERN,2022-04-15,15,23,-20,18,6,6,6
3,CERN,2022-04-16,-7,20,-20,16,5,5,5
4,CERN,2022-04-17,-20,0,-20,1,2,3,5
5,CERN,2022-04-18,7,19,-20,20,4,3,5
6,CERN,2022-04-19,12,21,-16,21,4,4,5
7,CERN,2022-04-20,4,18,-19,23,4,3,5
0,CF,2022-04-13,33,43,-25,170,13,9,14
1,CF,2022-04-14,-21,24,-36,102,8,8,12
2,CF,2022-04-15,16,22,-20,18,8,9,12
3,CF,2022-04-16,11,30,-24,53,7,10,12
4,CF,2022-04-17,11,27,-20,48,7,10,12
5,CF,2022-04-18,15,29,-19,42,7,9,12
6,CF,2022-04-19,9,29,-23,49,7,11,12
7,CF,2022-04-20,28,38,-20,146,12,12,12
0,SCHW,2022-04-13,10,29,-21,67,0,2,4
1,SCHW,2022-04-14,1,24,-23,100,1,2,4
2,SCHW,2022-04-15,0,29,-31,949,1,1,4
3,SCHW,2022-04-16,4,25,-23,56,4,2,4
4,SCHW,2022-04-17,1,18,-22,727,3,0,4
5,SCHW,2022-04-18,-11,41,-46,568,0,0,4
6,SCHW,2022-04-19,7,33,-25,157,2,1,4
7,SCHW,2022-04-20,2,23,-21,61,1,1,4
0,CHTR,2022-04-13,0,20,-17,24,8,9,8
1,CHTR,2022-04-14,4,22,-21,46,7,9,8
2,CHTR,2022-04-15,-4,17,-20,15,5,8,8
3,CHTR,2022-04-16,10,20,0,4,6,8,7
4,CHTR,2022-04-17,9,20,-20,7,6,8,7
5,CHTR,2022-04-18,-11,27,-33,92,4,6,6
6,CHTR,2022-04-19,9,25,-20,33,5,6,6
7,CHTR,2022-04-20,-1,21,-22,26,3,6,6
0,CVX,2022-04-13,51,89,-78,39789,-1,3,1
1,CVX,2022-04-14,8,50,-47,846,0,2,1
2,CVX,2022-04-15,-58,44,-72,5414,-7,0,-4
3,CVX,2022-04-16,17,53,-47,821,2,3,-4
4,CVX,2022-04-17,17,51,-46,868,4,3,-5
5,CVX,2022-04-18,18,53,-48,1199,3,1,-5
6,CVX,2022-04-19,-37,45,-63,2234,-4,-3,-6
7,CVX,2022-04-20,0,52,-53,1358,-1,-3,-6
0,CMG,2022-04-13,0,29,-30,109,5,8,8
1,CMG,2022-04-14,12,34,-28,142,6,8,9
2,CMG,2022-04-15,2,17,-18,57,7,7,8
3,CMG,2022-04-16,1,19,-20,64,6,6,8
4,CMG,2022-04-17,2,20,-18,65,4,6,7
5,CMG,2022-04-18,-3,31,-33,124,3,5,7
6,CMG,2022-04-19,8,35,-31,186,3,5,7
7,CMG,2022-04-20,8,26,-20,101,4,5,7
0,CB,2022-04-13,16,20,0,17,11,9,11
1,CB,2022-04-14,8,18,-20,11,12,8,11
2,CB,2022-04-15,9,20,-20,12,11,8,11
3,CB,2022-04-16,5,20,-20,4,9,7,10
4,CB,2022-04-17,-12,2,-20,3,7,7,10
5,CB,2022-04-18,10,20,0,8,8,7,10
6,CB,2022-04-19,29,33,-19,54,9,9,11
7,CB,2022-04-20,14,22,-19,20,10,10,11
0,CHD,2022-04-13,13,20,-19,6,14,9,8
1,CHD,2022-04-14,0,19,-19,2,12,9,8
2,CHD,2022-04-15,0,13,-19,6,9,8,7
3,CHD,2022-04-16,12,19,0,10,9,9,7
4,CHD,2022-04-17,-13,0,-19,3,7,8,7
5,CHD,2022-04-18,4,20,-20,19,6,7,7
6,CHD,2022-04-19,-8,20,-20,15,4,7,7
7,CHD,2022-04-20,2,20,-20,15,4,8,6
0,CI,2022-04-13,-16,21,-33,85,-9,-5,-3
1,CI,2022-04-14,-10,22,-31,86,-9,-6,-3
2,CI,2022-04-15,-11,20,-21,33,-12,-6,-3
3,CI,2022-04-16,-4,19,-19,19,-8,-4,-4
4,CI,2022-04-17,-23,17,-30,42,-11,-6,-5
5,CI,2022-04-18,-5,22,-26,48,-11,-7,-5
6,CI,2022-04-19,3,30,-26,98,-9,-6,-5
7,CI,2022-04-20,5,32,-27,114,-8,-8,-5
0,CINF,2022-04-13,20,20,0,3,4,7,9
1,CINF,2022-04-14,-1,18,-20,3,4,7,8
2,CINF,2022-04-15,0,0,0,7,2,5,8
3,CINF,2022-04-16,10,19,0,4,4,6,8
4,CINF,2022-04-17,0,0,0,2,4,5,7
5,CINF,2022-04-18,11,20,-20,7,6,4,7
